	filter	window	alpha	lag	alphaLP	alphaHP	no mismatchess	Key Lenght	Key Sattus	Key bit Mismatches	Key bit Matches	key bit mismatches %	Seq bit Mismatches	Seq bit Matches	Seq bit mismatches %
433	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.30000000000000004	4	227	False	4	223	0.0176	6833	33167	0.1708
434	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.4	3	207	False	3	204	0.0145	7609	32391	0.1902
435	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.5	5	201	False	5	196	0.0249	8572	31428	0.2143
436	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.6000000000000001	13	208	False	13	195	0.0625	8679	31321	0.217
437	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.7000000000000001	10	194	False	10	184	0.0515	8506	31494	0.2127
438	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.8	8	195	False	8	187	0.041	8320	31680	0.208
439	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	0.9	6	192	False	6	186	0.0312	7983	32017	0.1996
440	bandpassLPHP	    -    	    -    	    -    	0.6000000000000001	1.0	4	196	False	4	192	0.0204	8039	31961	0.201
441	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.1	2	206	False	2	204	0.0097	6978	33022	0.1744
442	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.2	1	218	False	1	217	0.0046	7028	32972	0.1757
443	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.30000000000000004	2	224	False	2	222	0.0089	6700	33300	0.1675
444	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.4	4	227	False	4	223	0.0176	6833	33167	0.1708
445	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.5	3	212	False	3	209	0.0142	7281	32719	0.182
446	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.6000000000000001	3	203	False	3	200	0.0148	7903	32097	0.1976
447	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.7000000000000001	11	203	False	11	192	0.0542	8353	31647	0.2088
448	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.8	14	204	False	14	190	0.0686	8544	31456	0.2136
449	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	0.9	9	201	False	9	192	0.0448	8389	31611	0.2097
450	bandpassLPHP	    -    	    -    	    -    	0.7000000000000001	1.0	4	205	False	4	201	0.0195	8312	31688	0.2078
451	bandpassLPHP	    -    	    -    	    -    	0.8	0.1	2	201	False	2	199	0.01	6801	33199	0.17
452	bandpassLPHP	    -    	    -    	    -    	0.8	0.2	2	213	False	2	211	0.0094	7041	32959	0.176
453	bandpassLPHP	    -    	    -    	    -    	0.8	0.30000000000000004	1	218	False	1	217	0.0046	7028	32972	0.1757
454	bandpassLPHP	    -    	    -    	    -    	0.8	0.4	2	228	False	2	226	0.0088	6652	33348	0.1663
455	bandpassLPHP	    -    	    -    	    -    	0.8	0.5	3	225	False	3	222	0.0133	6528	33472	0.1632
456	bandpassLPHP	    -    	    -    	    -    	0.8	0.6000000000000001	3	224	False	3	221	0.0134	6512	33488	0.1628
457	bandpassLPHP	    -    	    -    	    -    	0.8	0.7000000000000001	3	221	False	3	218	0.0136	6732	33268	0.1683
458	bandpassLPHP	    -    	    -    	    -    	0.8	0.8	3	219	False	3	216	0.0137	6695	33305	0.1674
459	bandpassLPHP	    -    	    -    	    -    	0.8	0.9	5	213	False	5	208	0.0235	7009	32991	0.1752
460	bandpassLPHP	    -    	    -    	    -    	0.8	1.0	2	211	False	2	209	0.0095	7288	32712	0.1822
461	bandpassLPHP	    -    	    -    	    -    	0.9	0.1	3	203	False	3	200	0.0148	6722	33278	0.1681
462	bandpassLPHP	    -    	    -    	    -    	0.9	0.2	2	201	False	2	199	0.01	6801	33199	0.17
463	bandpassLPHP	    -    	    -    	    -    	0.9	0.30000000000000004	2	206	False	2	204	0.0097	6978	33022	0.1744
464	bandpassLPHP	    -    	    -    	    -    	0.9	0.4	2	220	False	2	218	0.0091	7048	32952	0.1762
465	bandpassLPHP	    -    	    -    	    -    	0.9	0.5	1	217	False	1	216	0.0046	6921	33079	0.173
466	bandpassLPHP	    -    	    -    	    -    	0.9	0.6000000000000001	3	223	False	3	220	0.0135	6547	33453	0.1637
467	bandpassLPHP	    -    	    -    	    -    	0.9	0.7000000000000001	3	220	False	3	217	0.0136	6278	33722	0.157
468	bandpassLPHP	    -    	    -    	    -    	0.9	0.8	5	229	False	5	224	0.0218	6135	33865	0.1534
469	bandpassLPHP	    -    	    -    	    -    	0.9	0.9	6	232	False	6	226	0.0259	6039	33961	0.151
470	bandpassLPHP	    -    	    -    	    -    	0.9	1.0	5	226	False	5	221	0.0221	6265	33735	0.1566
