,m (length of),alpha,n (block size),tau (decision threshold),No_mism (expected number of mismatches),L  (expected length of final key),expected number of mismatches (%)
327,50,0.25,17,2,0,8.1851,0
328,50,0.25,17,3,0,17.651,0
329,50,0.25,17,4,0,28.6949,0
330,50,0.25,17,5,0,38.2703,0
331,50,0.25,17,6,0,44.6772,0
332,50,0.25,17,7,0,48.1432,0
333,50,0.25,17,8,0.0006,50,0.0012
334,50,0.25,18,1,0,1.9732,0
335,50,0.25,18,2,0,6.7653,0
336,50,0.25,18,3,0,15.2845,0
337,50,0.25,18,4,0,25.9337,0
338,50,0.25,18,5,0,35.8743,0
339,50,0.25,18,6,0,43.0623,0
340,50,0.25,18,7,0,47.2148,0
341,50,0.25,18,8,0.0001,49.3037,0.0002
342,50,0.25,19,1,0,1.5504,0
343,50,0.25,19,2,0,5.5672,0
344,50,0.25,19,3,0,13.1547,0
345,50,0.25,19,4,0,23.2713,0
346,50,0.25,19,5,0,33.3883,0
347,50,0.25,19,6,0,41.2604,0
348,50,0.25,19,7,0,46.1514,0
349,50,0.25,19,8,0,48.677,0
350,50,0.25,19,9,0.0002,50,0.0004
351,50,0.25,20,1,0,1.2156,0
352,50,0.25,20,2,0,4.563,0
353,50,0.25,20,3,0,11.2578,0
354,50,0.25,20,4,0,20.7421,0
355,50,0.25,20,5,0,30.8588,0
356,50,0.25,20,6,0,39.2906,0
357,50,0.25,20,7,0,44.9186,0
358,50,0.25,20,8,0,48.0005,0
359,50,0.25,20,9,0,49.5039,0
360,50,0.3,3,1,1.4,50,2.8
361,50,0.3,4,1,0.185,36.77,0.50313
362,50,0.3,5,1,0.023,27.95,0.08229
363,50,0.3,5,2,0.428,50,0.856
364,50,0.3,6,1,0.0028,21.5555,0.01299
365,50,0.3,6,2,0.0635,40.739,0.15587
366,50,0.3,7,1,0.0003,16.6604,0.0018
367,50,0.3,7,2,0.0088,33.7932,0.02604
368,50,0.3,7,3,0.1364,50,0.2728
369,50,0.3,8,1,0,12.8294,0
370,50,0.3,8,2,0.0012,28.1533,0.00426
371,50,0.3,8,3,0.0216,43.1932,0.05001
372,50,0.3,9,1,0,9.8218,0
373,50,0.3,9,2,0.0001,23.3561,0.00043
374,50,0.3,9,3,0.0032,37.7477,0.00848
375,50,0.3,9,4,0.0445,50,0.089
376,50,0.3,10,1,0,7.4726,0
377,50,0.3,10,2,0,19.2187,0
378,50,0.3,10,3,0.0005,33.0101,0.00151
379,50,0.3,10,4,0.0073,44.854,0.01628
380,50,0.3,11,1,0,5.6519,0
381,50,0.3,11,2,0,15.6659,0
382,50,0.3,11,3,0.0001,28.6927,0.00035
383,50,0.3,11,4,0.0011,40.5657,0.00271
384,50,0.3,11,5,0.0148,50,0.0296
385,50,0.3,12,1,0,4.252,0
386,50,0.3,12,2,0,12.6511,0
387,50,0.3,12,3,0,24.7104,0
388,50,0.3,12,4,0.0002,36.6572,0.00055
389,50,0.3,12,5,0.0025,46.0376,0.00543
390,50,0.3,13,1,0,3.1837,0
391,50,0.3,13,2,0,10.1275,0
392,50,0.3,13,3,0,21.0629,0
393,50,0.3,13,4,0,32.9172,0
394,50,0.3,13,5,0.0004,42.6413,0.00094
395,50,0.3,13,6,0.005,50,0.01
396,50,0.3,14,1,0,2.3739,0
397,50,0.3,14,2,0,8.0431,0
398,50,0.3,14,3,0,17.7707,0
399,50,0.3,14,4,0,29.2933,0
400,50,0.3,14,5,0.0001,39.4402,0.00025
401,50,0.3,14,6,0.0009,46.9093,0.00192
402,50,0.3,15,1,0,1.7634,0
403,50,0.3,15,2,0,6.3418,0
